,federal_district,city,geo_lat,geo_lon
334,Приволжский,Киров,58.6035264,49.6679304
335,Приволжский,Кирово-Чепецк,58.5559424,50.0316848
336,Приволжский,Кирс,59.340056000000004,52.241443700000005
337,Приволжский,Котельнич,58.3034832,48.3475597
338,Приволжский,Луза,60.62906089999999,47.261244500000004
339,Приволжский,Малмыж,56.5243844,50.6782739
340,Приволжский,Мураши,59.39553829999999,48.9638417
341,Приволжский,Нолинск,57.5597284,49.93575
342,Приволжский,Омутнинск,58.669891299999996,52.189456400000005
343,Приволжский,Орлов,58.53897760000001,48.8927723
344,Приволжский,Слободской,58.7311574,50.1669249
345,Приволжский,Советск,57.584196,48.95902720000001
346,Приволжский,Сосновка,56.253274100000006,51.28336420000001
347,Приволжский,Уржум,57.10974770000001,50.0058097
348,Приволжский,Яранск,57.3040326,47.8478737
349,Северо-Западный,Воркута,67.49740820000001,64.06103399999999
350,Северо-Западный,Вуктыл,63.8615274,57.3165402
351,Северо-Западный,Емва,62.596513699999996,50.8732125
352,Северо-Западный,Инта,66.0367316,60.1152961
353,Северо-Западный,Микунь,62.357906799999995,50.0719503
354,Северо-Западный,Печора,65.148584,57.2239777
355,Северо-Западный,Сосногорск,63.5989841,53.876293000000004
356,Северо-Западный,Сыктывкар,61.66866170000001,50.8358151
357,Северо-Западный,Усинск,65.994147,57.556942299999996
358,Северо-Западный,Ухта,63.5565514,53.701423899999995
359,Центральный,Буй,58.4733277,41.5306822
360,Центральный,Волгореченск,57.4424559,41.1594201
361,Центральный,Галич,58.3828191,42.365401299999995
362,Центральный,Кологрив,58.826932299999996,44.3184927
363,Центральный,Кострома,57.8029621,40.990826399999996
364,Центральный,Макарьев,57.8807152,43.801419700000004
365,Центральный,Мантурово,58.3265441,44.757494
366,Центральный,Нерехта,57.454336899999994,40.5723598
367,Центральный,Нея,58.294334899999996,43.8780948
368,Центральный,Солигалич,59.078486700000006,42.287842299999994
369,Центральный,Чухлома,58.753420999999996,42.6884958
370,Центральный,Шарья,58.3760542,45.4062414
371,Южный,Абинск,44.867965500000004,38.1618157
372,Южный,Анапа,44.8950433,37.3163282
373,Южный,Апшеронск,44.4584006,39.7299824
374,Южный,Армавир,45.0012149,41.132416799999994
375,Южный,Белореченск,44.7651876,39.8781494
376,Южный,Геленджик,44.5630007,38.0790852
377,Южный,Горячий Ключ,44.6344864,39.13547379999999
378,Южный,Гулькевичи,45.3605121,40.69183889999999
379,Южный,Ейск,46.71157,38.2763895
380,Южный,Кореновск,45.4641703,39.458949
